Gvalch'ca,Aperture,Space Grey,,Alu,NK_ Silk Yellow stock,C3 R2 (205g0),GMK Crimson Cadet,https://telegra.ph/GB-Aperture-08-20
Gvalch'ca,Space65,R2 Forest,,Carbon,Holy Mint Pandas L (205g0) w/ Gat Yellow springs,C3 R2 (205g0),JTK Angel,https://t.me/gvalchcasciops
Gvalch'ca,Matrix NOAH,v2.1 Taro,,Alu,Holy Red Pandas L (205g0) w/ TX 65g,C3 R2 (205g0),MT3 Camillo,https://t.me/gvalchcasciops
Gvalch'ca,BBOX60,the01,SpaccBoard,FR4,Space Invaders gen4 linear white (stock),NMB Hi-Tek stock,NMB DEC alphas + NMB RT-102 mods,https://t.me/gvalchcasciops
,Tofu60,Burgundy,DZ60 Rev.3,FR4,"C3 Tangerine 62g (205g0, deskeys sfilm)","Gateron Ink (205g0, permatex)",GMK Red Samurai ,
Skimo,Matrix NOAH,V2 Warm grey,,Alu,Holy ,"C3 R2 (205g0, permatex)",GMK Monster (clone) ,https://t.me/skimoboy
Skimo,BBOX60,C64,GA15.0,Steel,"Alps Cream Damped (undamped, unsilent, 205g0)",AEK,AEK,https://t.me/skimoboy
Leerne,Wind x65 ,Cool Grey,,CF,Holy Panda,Owlab V3,,
,Leerne,Zoom65 ,black + grey,,PC,Epsilon,Stock,,
krikun98,Corne-ish Zen,Blue,,Alu,Kailh gChoc,-,MBK White,https://lowprokb.ca/
krikun98,Dao,Blue,,FR4,Kailh gChoc,-,CDD in black SLA,https://github.com/yumagulovrn/dao-choc-ble
krikun98,Jorian840,Gold,,DLP,JWK Cobalt,-,Wyse 85,https://github.com/krikun98/jorian840
krikun98,Jorian840,Black,,PS,Alps.tw Type OD1 waxed,-,Apple AEK II,https://github.com/krikun98/jorian840
krikun98,Jianovka,Silver,,Steel,Zbrojovka HE 205G0,-,Zbrojovka 262.3,http://nest.pijul.com/sunflower/jianovka
krikun98,Jorne,3.0 GITD Green,,PETG,Solaris with U4 stems,-,SA Leviathan,https://github.com/joric/jorne/tree/jorne/corne-cherry/pcb_v3
krikun98,Jorne,3.0 WL Yellow,,Brass,Holy Boba,-,Xerox 6012,https://github.com/joric/jorne/tree/jorne/corne-cherry/pcb_wl
krikun98,Jorne,3.0 WL Black,,FR4,Alps SKCM Blue Nyogel 760G,-,Visual LK201,https://github.com/joric/jorne/tree/jorne/corne-cherry/pcb_wl
krikun98,Lyra,Purple,Beta,Carbon Fiber,Durock Dolphin l/f 105G0,C³ 205G2,GMK MECHA-01,https://github.com/PiKeeb/lyra-keyboard
krikun98,Radpad,Blue,,FR4,Holy Panda,-,Infinikey Laffy Taffy,https://www.instagram.com/keybage/
krikun98,Nijuni,V0.1 Black,,FR4,Kailh Box Cream,-,DSA Blank black,https://github.com/krikun98/nijuni
krikun98,Skean,V0.2 Blue,,FR4,Durock T1 l/f 203G2,-,MT3 Dasher,https://github.com/krikun98/skean
krikun98,Skean,V0.1 Blue,,PET,Alps SKCM Orange Nyogel 760G,-,Apple M0118,https://github.com/krikun98/skean
krikun98,Sweep Compact BLE,White,,-,Kailh gChoc,-,MBK White,https://github.com/davidphilipbarr/Sweep
krikun98,Sporne,Red,,FR4,Space Invaders gen4 linear white,-,NMB DEC,https://github.com/krikun98/jorne/tree/jorne_wl_si/corne-classic/pcb_wl
krikun98,wEnki44,White,,White ABS-Like SLA,Kailh gChoc,-,DCJS in white SLA,https://github.com/aroum/wEnki44
Zullkree,Bbox60,C64,KT60-M,Carbon Fiber,Cherry MX Black (Wyse85) L+F,Durock v2,Xerox 6001 Copy,https://t.me/zlkrblog
Zullkree,Bbox60,Cyberspace ,Steezy60 ,Steel ,Alps SKCM Cream Damped (Ivory),Проволока из хоз-мага,Canon S-16,https://t.me/zlkrblog
Zullkree,KBDFANS D60,E-white ,DZ60WKL ,FR4,Equalz Tangerine V2 62g L+F,Equalz C3V2 Tangerine ,ePBT 6085,https://t.me/zlkrblog
Warus,Iris,rev 4,,FR4,Cherry MX Blue + Cherry MX Red на модах,-,,
Sanan612,Mystery tkl by Revo,Mark 1,-,Half PC,Cherry mx black,с3 gray,21 kb/XIMI space cadet,
Sanan612,KBDFANS 5 degree,Black, 1up 60% HS ,Steel,U4t+2 layers spring L,c3 green,Maxkey SA wob,
Sanan612,HHKB PRO CLASSIC,white blank,-,ABC,TOPRE,stock,stock,
Sanan612,Jiran ,-,Jiran,FR4,"C3 Tangerine 62g (205g0, deskeys sfilm)",-,НН даблшоты из старой клавы,
Sanan612, BTC 5139,-,-,STEEL,BTC dome with slider,stock,stock,
hypnotoaded,"Alice (клон алисы по китайским чертежам, выточенная у бесткриэйтинг)",Silver,mini usb from projectkeyboards,FR4 hineybush,Gateron ink 8008 l&f,"zeal pc (205g0, permatex)",GMK Beta JS & GMK OG SPACEKEYS R2,
Zullkree,kprepublic XD68,Grey,-,Carbon Fiber,Gateron Milky Yellow Pro L+F,Everglide V1 ,Evil Dolch Copy ,https://t.me/zlkrblog
Satero,QK65,black+chroma,-,FR4,KTT Kang white (205g0+105),Owlab V3,GMK 9009 copy,
Satero,HEX.3C,e-white ,instant60,Alu,Alpaca v2 L+F,TX alpaca ,Gmk peach blossom copy,
Parussia,Baldr60,B-stock,dz60 flex,Alu,Cherry hg brown+gateron yellow spacebar,TX white,Gmk modo light,https://t.me/Paruss1a
